time_fs,T_md_K,T_ww_K,DeltaT_K
13300.0000000000,1052.8553023400,1082.4937137800,-29.6384114400
13350.0000000000,1046.5700511100,1075.0526071000,-28.4825559900
13400.0000000000,1053.4602436600,1067.5797954000,-14.1195517400
13450.0000000000,1057.8737383400,1067.3085716000,-9.4348332600
13500.0000000000,1045.5259936100,1060.8773442100,-15.3513506000
13550.0000000000,1052.9982648100,1061.2672234500,-8.2689586400
13600.0000000000,1072.3206399300,1060.9609058400,11.3597340900
13650.0000000000,1052.2271640700,1064.2464747200,-12.0193106500
13700.0000000000,1056.4241861200,1066.1096804200,-9.6854943000
13750.0000000000,1039.0292595400,1067.0862860200,-28.0570264800
13800.0000000000,1053.5060920500,1063.2219176600,-9.7158256100
13850.0000000000,1059.0609259100,1058.0152632000,1.0456627100
13900.0000000000,1062.1777551000,1062.8469181900,-0.6691630900
13950.0000000000,1032.3182979900,1055.0914994200,-22.7732014300
14000.0000000000,1069.5216899300,1056.8663121500,12.6553777800
14050.0000000000,1047.5859068000,1056.7570343900,-9.1711275900
14100.0000000000,1034.9138687900,1047.5538895200,-12.6400207300
14150.0000000000,1050.6291546700,1048.3779812700,2.2511734000
14200.0000000000,1015.8532917300,1047.4544359400,-31.6011442100
14250.0000000000,1048.5633631300,1044.9503616700,3.6130014600
14300.0000000000,1033.1162043000,1055.0849656100,-21.9687613100
14350.0000000000,1038.7911758100,1047.9377268500,-9.1465510400
14400.0000000000,1039.1355246400,1036.2200872000,2.9154374400
14450.0000000000,1064.0855104400,1043.1179805800,20.9675298600
14500.0000000000,1046.0666675300,1039.6882130600,6.3784544700
14550.0000000000,1046.0280787600,1043.8453947500,2.1826840100
14600.0000000000,1073.5621883700,1047.0852775900,26.4769107800
14650.0000000000,1067.3480309700,1045.6235986500,21.7244323200
14700.0000000000,1052.3215864300,1046.2528004900,6.0687859400
14750.0000000000,1100.9273013500,1098.4917267200,2.4355746300
14800.0000000000,1097.1705771300,1095.1075227800,2.0630543500
14850.0000000000,1101.3471750600,1080.9656424200,20.3815326400
14900.0000000000,1097.9216398000,1073.7168050700,24.2048347300
14950.0000000000,1107.3605117400,1071.0302337100,36.3302780300
15000.0000000000,1093.4600116800,1068.0823525600,25.3776591200
15050.0000000000,1072.3329572500,1058.1521821100,14.1807751400
15100.0000000000,1099.8250074000,1064.2264981600,35.5985092400
15150.0000000000,1100.3438033600,1059.5744203800,40.7693829800
15200.0000000000,1106.9519810500,1058.8384535300,48.1135275200
15250.0000000000,1097.4112096800,1067.8193432500,29.5918664300
15300.0000000000,1099.8904536900,1071.9759327900,27.9145209000
15350.0000000000,1078.0289120700,1067.3730737400,10.6558383300
15400.0000000000,1096.8433928600,1069.8485565900,26.9948362700
15450.0000000000,1099.9997748900,1074.5179217300,25.4818531600
15500.0000000000,1089.3177095600,1078.1695161500,11.1481934100
15550.0000000000,1091.2692027800,1075.9021823000,15.3670204800
15600.0000000000,1115.5577104500,1077.8591399900,37.6985704600
15650.0000000000,1100.1826632100,1074.5772027300,25.6054604800
15700.0000000000,1093.7388643600,1079.7222216700,14.0166426900
15750.0000000000,1080.5587352300,1089.0149429100,-8.4562076800
15800.0000000000,1092.0717748100,1097.1108725000,-5.0390976900
15850.0000000000,1111.2468239600,1088.8205184800,22.4263054800
15900.0000000000,1104.0484634200,1094.1385379300,9.9099254900
15950.0000000000,1109.4601477800,1106.2554145900,3.2047331900
16000.0000000000,1105.4974454000,1107.7613099500,-2.2638645500
16050.0000000000,1087.8513145500,1107.3785585800,-19.5272440300
16100.0000000000,1105.7394446500,1109.8531265200,-4.1136818700
16150.0000000000,1087.3967329100,1108.9449284500,-21.5481955400
16200.0000000000,1091.2918668200,1108.3797676100,-17.0879007900
16250.0000000000,1077.8733663600,1113.8677507300,-35.9943843700
16300.0000000000,1100.1499619400,1118.3150955300,-18.1651335900
16350.0000000000,1135.0819504700,1195.4744159700,-60.3924655000
16400.0000000000,1156.1891814100,1198.9708614400,-42.7816800300
16450.0000000000,1147.2208282000,1195.5490380600,-48.3282098600
16500.0000000000,1143.5717537600,1189.7651712300,-46.1934174700
16550.0000000000,1153.5536885200,1184.9383699000,-31.3846813800
16600.0000000000,1134.7342938300,1182.9985896000,-48.2642957700
16650.0000000000,1131.6867018300,1168.1964826700,-36.5097808400
16700.0000000000,1169.7525138500,1162.5590359700,7.1934778800
16750.0000000000,1153.6335402800,1149.8306892600,3.8028510200
16800.0000000000,1168.8169912400,1141.6002614200,27.2167298200
16850.0000000000,1161.4159532700,1130.2889827500,31.1269705200
16900.0000000000,1151.1737273000,1126.9423201900,24.2314071100
16950.0000000000,1146.9176537300,1114.2585850900,32.6590686400
17000.0000000000,1167.3824920200,1114.2923508900,53.0901411300
17050.0000000000,1151.6461331100,1123.3192358500,28.3268972600
17100.0000000000,1164.8349057500,1112.9673002700,51.8676054800
17150.0000000000,1153.7348679300,1124.9999344900,28.7349334400
17200.0000000000,1145.7707656600,1119.2997401500,26.4710255100
17250.0000000000,1169.8196194600,1120.8566178000,48.9630016600
17300.0000000000,1166.4952731700,1133.8509002000,32.6443729700
17350.0000000000,1148.7413214500,1149.0936454300,-0.3523239800
17400.0000000000,1132.7732828000,1151.3381117700,-18.5648289700
17450.0000000000,1144.5834212100,1162.3090127500,-17.7255915400
17500.0000000000,1138.5163074200,1165.3818801200,-26.8655727000
17550.0000000000,1163.0796433100,1176.0369367400,-12.9572934300
17600.0000000000,1161.4939594500,1181.7071280200,-20.2131685700
17650.0000000000,1128.5137203600,1192.1218496400,-63.6081292800
17700.0000000000,1142.5069847500,1191.0460043300,-48.5390195800
17750.0000000000,1175.2992391900,1188.7856647500,-13.4864255600
17800.0000000000,1158.4022400000,1185.2543184100,-26.8520784100
17850.0000000000,1143.0249787100,1175.2185579600,-32.1935792500
17900.0000000000,1168.5589996000,1164.7121354700,3.8468641300
17950.0000000000,1166.5555245100,1154.3014042200,12.2541202900
18000.0000000000,1145.7856751800,1147.5128397900,-1.7271646100
18050.0000000000,1173.5700347200,1135.0993859700,38.4706487500
18100.0000000000,1192.4917513600,1193.0544528500,-0.5627014900
18150.0000000000,1217.7108547500,1210.6109538500,7.0999009000
18200.0000000000,1217.6332854400,1207.4101406400,10.2231448000
18250.0000000000,1225.4665640500,1195.0948014400,30.3717626100
18300.0000000000,1184.2988127900,1188.5017398800,-4.2029270900
18350.0000000000,1205.2599743700,1192.4859690200,12.7740053500
18400.0000000000,1212.9869206000,1194.1521047100,18.8348158900
18450.0000000000,1201.3440551800,1193.1760852900,8.1679698900
18500.0000000000,1198.5603915400,1198.7426157500,-0.1822242100
18550.0000000000,1197.6616109700,1204.4430276400,-6.7814166700
18600.0000000000,1211.8661598100,1199.1325113600,12.7336484500
18650.0000000000,1195.8614930200,1199.5189074200,-3.6574144000
